page,position,title,description
1,1,VERTICALIDAD,"Nuestro próximo revolcón será… de pie! Nada de cama o de sofá, nos pasamos a la verticalidad. ¡De ti depende encontrar un par de posturas que nos permitan hacerlo de pie (no vale caerse)!"
1,2,LÍNEA OCUPADA,Voy a llamar a quien yo quiera para contarle alguna chorrada mientras tú me practicas sexo oral. ¡Tengo que mantener la compostura!
1,3,PRELIMINARES CREATIVOS,Vamos a compartir algunas ideas nuevas para los preliminares… ¡y pongámoslas en práctica esta misma noche!
1,4,MUSICAAAH,"Esta noche, hagamos el amor con la música que tú quieras. ¿Será un polvo jazz, un polvo funky o más de rock and roll?"
1,5,EXPLORANDO LA CASA,"La próxima vez que hagamos el amor en casa, no será en la cama ni en el comedor. Elijo el lugar, ¡tú déjate llevar!"
1,6,MASAJE TÁNTRICO,Iníciame en las técnicas del masaje tántrico viendo tutoriales por Internet y aplica lo aprendido. ¡Soy tu conejillo/a de indias!
1,7,MARATÓN DE POLVOS,Pongamos a prueba nuestros límites y batamos el récord de polvos en un día.
1,8,DULCE ESPERA,"Esta noche tendrás que volver a casa antes que yo y esperarme. En cuanto entre por la puerta, te abalanzarás sobre mí y tendremos sexo salvaje de inmediato."
1,9,QUEDADA DE COMPRAS,"Cuando salgamos del trabajo, quedamos en un sex shop, yo te mando la ubicación. Cada uno elige un juguete o prenda para el otro y los probamos en casa."
1,10,MÁSCARAS Y CÁMARA,"Esta noche, vamos a probar un videochat travieso (llevaremos máscara). Con otra pareja anónima. Te dejo que busques la web que más te guste para que exploremos juntos nuevos límites."
1,11,CARTA BLANCA,Esta tarjeta te permite traer el objeto que quieras al dormitorio para que juguemos juntos.
1,12,PÓRTATE BIEN,"Esta noche tendrás que ser obediente, y si no lo eres, prepárate para el castigo: te voy a dar más de un azote."
2,1,EXPLORACIÓN ANAL,"Hablemos de sexo anal: hay mucho que explorar, más allá de la sodomía. Tanto para las mujeres como para los hombres (gays y heteros)."
2,2,LECTURA CALIENTE,"Léeme un poema o un relato erótico atrevido que hayas encontrado por Internet. Lémelo con voz suave y delicada, pon voz de tu cosecha y, sobre todo, ¡cara seria!"
2,3,DULCES DELICIAS,"Elige tu dulce favorito (nata montada, nocilla, miel…) y pídeme que me lo extienda poco a poco por todas las partes erógenas que yo quiera… y luego ¡lámelo todo para que no quede nada!"
2,4,NETFLIX Y BAJA,"En un momento en el que estés viendo la tele, empezarás a tocarme poco a poco y ofrecerás a mi boca mientras yo sigo viendo mi peli o serie."
2,5,"CUIDADO, RESBALA","Mastúrbame, pero utiliza mucho lubricante para que resbale la mar de bien."
2,6,SUBE LA TEMPERATURA,Deja que el deseo arda bajo la ropa y hagamos el amor con la ropa puesta.
2,7,VIBRACIÓN GARANTIZADA,"Compra un huevo vibrador teledirigido. Cuando lo tengas, me lo pondré en la vagina o en el ano y luego saldremos a divertirnos. ¡Hazme vibrar!"
2,8,ESPEJITO ESPEJITO,Esta noche haremos el amor delante de un espejo. Mirémonos y dejemos que el reflejo nos inspire.
2,9,SORPRESA EN EL PROBADOR,"Hoy nos vamos de compras. En el probador, me darás una sorpresita muy muy caliente."
2,10,FRÍO CALIENTE,"Noche intensa y de contrastes: primero juega con cubitos de hielo sobre mi cuerpo, luego con velas especiales para masajes."
2,11,ESPELEOLOGÍA,"Después de una duchita de rigor, tu tímida lengua descubrirá poco a poco esa parte sensible y tan infravalorada: mi ano…"
2,12,SEDUCCIÓN EXPRÉS,"Durante medio minuto, haz todo lo posible para que quiera follarte mañana, enumerando todo lo que te gustaría hacerme en la cama."
3,1,SORPRESITA HOT,Tienes 7 días para esconder un juguetito nuevo en el cajón de mi mesilla de noche. Solo te queda esperar a que me apetezca jugar…
3,2,NO HAY SIESTA,Hazme el amor justo después de comer: hoy no se duerme la siesta.
3,3,PLACER DOBLE,"Probemos esta noche la doble penetración vaginal y anal. Tanto si utilizas un juguete, el pulgar o incluso otra cosa, no hay mejor manera para llegar en un tiempo récord."
3,4,MASAJE INTEGRAL,"Dame un masaje con tu cuerpo, vamos a embadurnarnos de aceite de masaje, piel con piel, guíame hacia un final feliz."
3,5,3 EN RAYA,Comprometámonos a hacer el amor al menos 3 veces por semana durante un mes y llevemos la cuenta de cuántas veces lo hacemos.
3,6,BAILE SENSUAL,Elige la canción sensual que prefieras y hazme un striptease. Baila para mí y deja que te coma con los ojos.
3,7,AL OÍDO,"Susúrrame guarradas al oído en público (en una cena con amigos, en el metro…). Calíentame hasta que no pueda pensar en otra cosa que en…"
3,8,ESCENITA,"Imaginemos juntos una escenita erótica típica (fontanero, policía, enfermera…). La haremos realidad esta semana. ¡Vamos a por los disfraces!"
3,9,AQUÍ TE PILLO AQUÍ TE MATO,"Venga, uno rapidito, aquí y ahora. Cinco minutos de pasión total antes de volver a la rutina…"
3,10,A CIEGAS,"La próxima vez que hagamos el amor, tendré los ojos vendados y las manos atadas, y tú tendrás todo el control."
3,11,PINTURA SENSUAL,"Convirtámonos en obras de arte vivientes sensuales con pintura corporal. Cuando terminemos, una foto para inmortalizar este momento de complicidad."
3,12,DUCHA DORADA,"Metámonos en la ducha completamente desnudos, besémonos apasionadamente y cuando estemos a punto de caramelo, que uno le orine encima al otro para compartir todo el calor de su cuerpo."
4,1,VALE ORAL,"Aquí tienes tu vale para una mamada o un cunnilingus, para cuando quieras y donde quieras. Tú eliges, yo bajo."
4,2,7 SEGUIDOS,Hagamos el amor todos los días de esta semana. Cada día en una habitación o lugar diferente. Tú eliges el primer sitio…
4,3,JUGUETE SORPRESA,"Salgámonos de la rutina y probemos algo nuevo: un anillo para el pene, un vibrador, un plug anal o lo que te apetezca. ¡Tú eliges!"
4,4,CONFESIÓN,Cuéntame con total sinceridad la fantasía más loca que tengas y que no te hayas atrevido a confesarme hasta ahora.
4,5,EN PELOTAS,"¡Desnúdate, ahora mismo, ya!"
4,6,SESIÓN SEXI,"Esta noche, yo fotografío y tú posas. Vamos a hacer una sesión de fotos muy caliente. ¡Seduce a la cámara (bueno, a mí)!"
4,7,DOBLE RACIÓN,"Esta noche tienes que provocarme al menos dos orgasmos. Descansa después del primero (si lo necesitas) y vuelve a la faena: con penetración, con la boca, con un juguete o con lo que quieras, pero otro, ¡otro!"
4,8,NOCHE EN VELA,"Tienes 7 días para despertarme en mitad de la noche con un poco de sexo oral muy suave. Cuando me hayas calentado lo suficiente, ¡pasamos a mayores!"
4,9,FANTASÍAS SUSURRADAS,Susúrrame al oído algo travieso con lo que hayas estado fantaseando últimamente mientras estábamos en la cama.
5,1,VALE ORAL,"Aquí tienes tu vale para una mamada o un cunnilingus, para cuando quieras y donde quieras. Tú eliges, yo bajo."
5,2,7 SEGUIDOS,Hagamos el amor todos los días de esta semana. Cada día en una habitación o lugar diferente. Tú eliges el primer sitio…
5,3,JUGUETE SORPRESA,"Salgámonos de la rutina y probemos algo nuevo: un anillo para el pene, un vibrador, un plug anal o lo que te apetezca. ¡Tú eliges!"
5,4,CONFESIÓN,Cuéntame con total sinceridad la fantasía más loca que tengas y que no te hayas atrevido a confesarme hasta ahora.
5,5,EN PELOTAS,"¡Desnúdate, ahora mismo, ya!"
5,6,SESIÓN SEXI,"Esta noche, yo fotografío y tú posas. Vamos a hacer una sesión de fotos muy caliente. ¡Seduce a la cámara (bueno, a mí)!"
5,7,DOBLE RACIÓN,"Esta noche tienes que provocarme al menos dos orgasmos. Descansa después del primero (si lo necesitas) y vuelve a la faena: con penetración, con la boca, con un juguete o con lo que quieras, pero otro, ¡otro!"
5,8,NOCHE EN VELA,"Tienes 7 días para despertarme en mitad de la noche con un poco de sexo oral muy suave. Cuando me hayas calentado lo suficiente, ¡pasamos a mayores!"
5,9,EL MAPA DEL TESOH-RO,"Tienes una semana para organizar una búsqueda del tesoro muy caliente. Esconde sorpresitas picantes por casa (ropa interior bonita, juguetes eróticos o frasecitas subiditas de tono…)."
5,10,SORPRESA ÍNTIMA,Déjame elegir dónde haremos el amor la próxima vez. Prepárate para la sorpresa.
5,11,AL AIRE,"En un restaurante o en casa de un amigo, ve al baño, quítate la ropa interior y vuelve y dámela para que me la guarde. ¡La recuperarás en casa (o no)!"
5,12,FANTASÍAS SUSURRADAS,Susúrrame al oído algo travieso con lo que hayas estado fantaseando últimamente mientras estábamos en la cama.
6,1,FETICHISTA,"Utiliza los dedos de los pies para acariciarme sensualmente el pecho, luego el vientre y por último el sexo. Bonus para los hombres: déjame eyacular sobre esos pies tan preciosos que tienes, ¡que viva el fetiche!"
6,2,MASAJE AL NATURAL,Compartamos juntos un masaje erótico naturista en el baño turco o sauna que elijas.
6,3,UNA DE TORPEZA,"Hazme el amor como si fuera la primera vez: tímido/a, inseguro/a, cautela… Tómate tu tiempo para descubrir cada parte de mi cuerpo como si me estuvieras conociendo."
6,4,UN POCO DE TEORÍA,Esta noche me vas a masturbar… pero como nunca antes lo habías hecho. Vamos a ver juntos algunos tutoriales de masturbación masculina/femenina y a explorar algunas técnicas nuevas.
6,5,"PIEDRA, PAPEL, TIJERA","Piedra, papel o tijera: el que pierda tendrá que chupárselo o hacerle un cunnilingus al otro."
6,6,AL NATURAL,Déjame fotografiarte sin ropa al aire libre. Muéstrame tu belleza natural y deja que el mundo sea testigo de nuestra complicidad.
6,7,ESPECTÁCULO PRIVADO,"Túmbate en la cama, desnúdate y empieza a tocarte sensualmente. Siéntate en una silla frente a mí y deja que mire mientras te masturbas hasta que te corras."
6,8,DUCHA A CIEGAS,Duchémonos juntos con todo a oscuras. Olámonos sin vernos dejando que nuestros otros sentidos guíen nuestro placer…
6,9,TARDE DE HOTEL,Tienes un mes para reservar una tarde en el hotel que elijas y hacerme gritar durante unas horas. No nos preocuparemos de los vecinos.
6,10,PRELIMINARES GUIADOS,"Durante la próxima sesión de preliminares, déjame guiar tu boca y tu mano por mi cuerpo para enseñarte dónde y cómo me gusta… Mmm, sí, justo ahí."
6,11,EL AGUJERITO,"Esta noche, hagamos un poco de anal… Pero con un dedo, uno o varios dildos, o un consolador… ¡o con todo! ¡Tú eliges las armas!"
6,12,SIN METERLA,Esta noche nos olvidamos de la meta y nos centramos en el camino: una buena dosis de preliminares.
7,1,KAMASUTRA-TRA,"Cada día, durante una semana, busca en Internet una nueva postura del Kamasutra que no hayamos hecho nunca. La pondremos en práctica e inmortalizaremos el momento con una foto."
7,2,RADIOSENSUAL,"Elige un episodio de un podcast erótico (en la plataforma que quieras). Lo vamos a escuchar entero en la cama, tumbados el uno al lado del otro, totalmente desnudos. Deja volar tu imaginación…"
7,3,ADULTS ONLY,Reserva una habitación en un Adults Only para vivir una experiencia única y pasar una noche inolvidable.
7,4,CALENTANDO MOTORES,Llévame a dar una vuelta en coche. Busquemos un lugar tranquilo y pisa el acelerador de la pasión donde nadie nos vea.
7,5,AFTERSEX,"Justo después de acostarnos, me acariciarás con ternura todo el cuerpo durante al menos 3 minutos. No te dejes ningún rincón, recréate…"
7,6,FANTASÍA REVELADA,"Comparte conmigo una fantasía, con todo lujo de detalles. Ahora desnúdate, cierra los ojos y deja que te la cuente yo mientras te masturbo."
7,7,ESA BOQUITA,"Dime guarradas en la cama. Dejaré volar tu imaginación calenturienta para que me cuentes palabras que me ponen como una moto. Si te da vergüenza, yo te guío."
7,8,CAJA DE FANTASÍAS,"En una cajita, que cada cual meta papeles con sus deseos y fantasías sexuales. Cada día, sacaremos un papelito al azar para hablar de ellos abiertamente, ¡y nada de juzgarnos!"
7,9,PASE PRIVADO,"Pon un vídeo porno, el que quieras. Manitas quietas hasta que termine… pero hablar y fantasear sí que podemos."
7,10,CARTA CALIENTE,"Esta semana, cada uno le escribirá una carta al otro explicando todo lo que le haría. La mandamos por correo postal, ¡a la antigua usanza!"
7,11,"LUCES, CÁMARA…","Esta noche, nos filmaremos teniendo tema para luego poder revivir la escena…"
7,12,FINGIR ES VIVIR,"Tumbémonos uno al lado del otro en la cama, desnudos, y finge cuidadosamente (no a lo bruto) un orgasmo gradual mientras te masturbas a mi lado… ¿cuánto tiempo aguantas sin saltarte encima?"
8,1,DESPERTAR TÓRRIDO,"Mañana, despiértame con sexo oral. Que abrir los ojos sea… todo un placer."
8,2,HOY NO MANDAS,"Te vendo los ojos, te pongo los auriculares y te ato las manos. Me toca a mí usar la imaginación (plumas, cubitos de hielo, comida, juguetes…) para estimular tus zonas erógenas."
8,3,A PUNTO DE NIEVE,"Ponme a tono con sexo oral, pero para en seco cuando esté a punto de caramelo. Repite la jugada tres o cuatro veces hasta que tenga un orgasmo explosivo."
8,4,"LUCES, CÁMARA…","Esta noche, nos filmaremos teniendo tema para luego poder revivir la escena…"
8,5,"ALERTA, OLA DE CALOR","A lo largo del día, me enviarás mensajes cochinos cada vez más subiditos de tono (mensajes, fotos, vídeos…). Iremos calentando el ambiente antes de que nos volvamos a ver por la noche."
