page,position,title,description
1,1,NOCHE DE DISFRACES,"En nuestra próxima cena con amigos o en un restaurante, te va a tocar ir con un disfraz… quien piense elegir yo, claro."
1,2,INDIANA JONES,"Organiza una búsqueda del tesoro por casa, con pistas y acertijos. La recompensa final debe estar a la altura de la aventura."
1,3,MISS/MR CAMISETA SECA,Trae una camiseta blanca de tu talla… y un buen rotulador negro. Te voy a escribir un mensaje gracioso. Tienes que llevarla con orgullo para que la vea todo el mundo.
1,4,NAMASTETAS,Vamos a buscar una sesión de yoga (en pareja o individual) y haremos la postura intentando completar desnudos para darle un poco de vidilla al asunto. ¡Namaste-tas!
1,5,STRIP PUZLE,"Compretemos un puzle de 500 piezas (por lo menos) y terminámoslo en una tarde, cada 10 minutos nos quitamos una prenda hasta que encaje la última pieza."
1,6,QUIEN RÍE EL ÚLTIMO…,Nos turnamos para contarnos chistes y el primero que se ría pierde.
1,7,PITO PITO,"Pito pito, gorgorito, dónde vas tú tan bonito… la quien te toque, va reto caliente!"
1,8,COMO CRÍOS,Organiza una salida al parque de atracciones o a la feria y vivir una montaña rusa de emociones.
1,9,A MI MANERA,"Cada maestrillo tiene su librillo. El problema es que tu librillo está mal. Hoy harás las cosas a mi manera, como yo diga. Sin discusiones."
1,10,CHEF A DOMICILIO,Me muero de hambre… Enséñame a preparar mi plato favorito mientras me repartes en el sofá. ¡Manos a la obra!
1,11,EXCURSIÓN,"Necesito un poco de aire fresco y oxigenarme. Planea una excursión a pie, en bici o a caballo por el lugar que quieras. Desconectamos o incluso una ruta en bici en pareja."
1,12,SOY FAN DE TI,"Anuncia tu amor a bombo y platillo en redes sociales, para que todo el mundo sepa lo mucho que me adoras y lo increíble que soy. Sin medias tintas, me subes brillo."
2,1,"PASÁ, PASÁ A MI MUNDO","Hoy te acompaño a tu sitio favorito, a tu espacio personal. Quiero conocer mejor eso que te apasiona."
2,2,ISIS EMPERATRIZ,"Durante todo el día, tengo que hacerte caso como una emperatriz. Ordena, manda y disfruta de tu poder."
2,3,DESAYUNO MECANO,"Hoy no me quiero levantar… pero me muero de hambre. Tráeme un desayuno completo a la cama: tostadas recién hechas, zumo de naranja, café… en una bandeja."
2,4,FELIZ NO CUMPLEAÑOS,"Organízame una fiesta sorpresa (restaurante, con amigos, regalos…) pero sin celebrar nada en concreto. ¡Porque sí!"
2,5,FIN DE MISTERIO,"Tienes 2 horas sin pantalla. Nada de móvil, nada de tele, nada de redes. Solo tú y yo. ¡Sorpréndeme!"
2,6,VOY A TENER SUERTE,"Hoy seguro que me pasa algo bueno. Voy a gastar 3€ en algo al azar (rasca, lotería…) y a ver qué pasa."
2,7,CENA TEMÁTICA,"Organiza una cena temática completa: país, época o película. Menú, música y vestuario incluidos."
2,8,BAILÉCITO TOKERO,Escoge una canción que te encante y enséñame un paso de baile que te vuelva loco/a. Bailamos sin vergüenza.
2,9,RETO,Compra una cámara desechable y saca fotos divertidas y espontáneas durante el día. Revelamos el carrete y nos partimos de risa.
2,10,CHINCHÍN,"La próxima vez que brindemos, tenemos que hacerlo por algo absurdo. El brindis tiene que ser creativo y gracioso."
2,11,CENA A TIENTAS,Hoy cenamos con los ojos vendados. Adivina qué es lo que comes y ríete del resultado.
2,12,BALLETITO TOKERO,Busca en TikTok un baile viral y aprendámoslo juntos. Luego lo grabamos solo para nosotros.
