page,position,title,description
1,1,EL BAÚL DE LOS RECUERDOS,Sumérgete en tus viejos álbumes familiares y selecciona fotos de tu infancia. Cuéntame todas las anécdotas divertidas que las acompañan.
1,2,SESIÓN DE FOTOS,Contrata a un fotógrafo y organiza una sesión de fotos en pareja en un lugar romántico. Arréglate… ¡y di patata!
1,3,CUENTA ATRÁS,"La próxima vez que estemos en plena faena, en cuanto diga ¡YA!, empiezas la cuenta atrás del 10 al 0 y, con cada número, me darás un azotito…"
1,4,EDÉN SECRETO,"Este mes, hagamos el amor en el jardín, el balcón o la terraza. Esperemos que no nos pillen…"
1,5,ARTISTA POR UN DÍA,"¡Hoy el/la artista soy yo! Cómprame un lienzo, desnúdame en el sofá, adóptate una pose sensual y deja que te dibuje."
1,6,CASTILLO DE ALMOHADAS,"Construyamos un castillo en casa con una mesa, mantas y cojines. Y pasemos ahí la noche. Lo que pasa en el castillo, se queda en el castillo."
1,7,ESCAPADA AMOROSA,"Esta tarde, sacamos un ratito para planificar nuestras próximas vacaciones: presupuesto, destino, fechas, alojamiento, actividades… Diseñemos juntos una escapada inolvidable."
1,8,PRIMER BESO,"Esta semana, sorpréndeme con un buen morreo en mitad de la calle, como si lleváramos un mes juntos."
1,9,VIAJE AL FUTURO,"Preparemos una cápsula del tiempo con recuerdos nuestros (billetes de avión, entradas de cine, fotos…) y notas para el futuro. La cerraremos y prometemos abrirla dentro de X años."
1,10,SILENCIO,"Pasemos toda la velada en silencio, desde la cena hasta la hora de acostarnos. Solo nos podremos comunicar con gestos y miradas."
1,11,PICOTEO,Me apetece picar algo rico rico. Prepara un picoteo de buenos planes cuando llegue de trabajar.
1,12,BAÑO EN PALACIO,Prepárame un baño de burbujas con velas y música suave. Quiero relajarme como si estuviera en un spa.
2,1,BOOOMBA,"Compra una bomba de baño, prepara la bañera calentita, velas, vino y música zen. No voy a querer salir del agua."
2,2,¿ESTUDIAS O TRABAJAS?,Reservemos mesa en un restaurante y hagamos como si fuera una primera cita. Finjamos que somos dos desconocidos y contémonos cómo fue la primera vez.
2,3,PALADARES EXÓTICOS,Reserva mesa en un restaurante exótico que nunca hayamos probado para una sorpresa culinaria. ¡Un viaje por el mundo a través de la gastronomía!
2,4,AMBIENTE 10,Enciende velas aromáticas por toda la casa para crear un ambiente digno de una peli romántica.
2,5,3 ESTRELLAS MICHELÍN,Tienes tres días para convertir nuestra cocina en un 3 estrellas Michelin. Me tienes que preparar un menú gourmet completo. Y no te olvides del postre.
2,6,NO VALE REÍRSE,"Ahora mismo, mirémonos a los ojos. No podemos tocar ni hablar durante 5 minutos. Al acabar, nos diremos qué hemos sentido."
2,7,AL ABORDAJE,"Busca el río, lago o playa que más te apetezca y organiza una excursión en barco, tabla de remo, kayak… ¡Al abordaje!"
